x,y
28.556905481401206,83.31669403861815
17.421222337672866,49.560609178514106
20.138261664683363,51.08006178426103
27.53857993759988,85.14990340405095
16.295948618115034,55.42080454742781
22.624887197889414,54.45975701774965
30.26281560588335,93.97438492611872
30.864894904581906,99.17693293384164
17.974629339674074,51.089300573872535
28.041580731753225,83.44033408985509
22.747326495206035,68.81902539864845
32.668505792080765,101.28031705694785
31.404912303558373,91.7273434599491
16.182602774839253,41.09689699987127
28.349523787879576,83.17560315332436
12.130184137759258,27.090999161516507
23.17179745055368,70.93041018285498
30.76526354968298,88.86818760680816
10.821357942972309,31.54174910374116
18.313326256359595,63.62468866346819
29.86143094795045,91.93515575098357
14.501754820290586,48.35436044989339
13.478121273795887,35.45953310881971
10.66057653117115,36.99991401168064
18.234534369762997,48.54607740151103
19.499098752718965,50.23454892181917
34.382744998566,103.21960440820726
14.370853456394647,49.18982334322568
26.880825019067775,88.86015087123866
12.596509511151776,43.53569936832205
23.114115793556287,67.32183907295746
10.096805557218435,34.38074620048253
23.621483437438215,67.44872025605508
26.28185907594683,74.05666795513758
32.81760610063951,96.97358744127712
32.86674412089575,100.30959762720802
21.46791591382349,68.44677315148368
14.645172247067237,50.0694199215313
20.87019711046308,71.68601364692482
10.654213160477898,35.54397151666042
19.303750074760927,54.86130868182063
30.96058586992037,91.26710066958205
14.817372413702827,42.249774097953626
29.147142473075014,78.54910883880267
18.314930733609405,65.16999141741069
10.450910985032127,23.904763155472175
32.26395972907419,95.2341876373956
19.135450611908006,55.111750433163195
26.251221402663653,77.31758613051241
34.05041047907835,103.51376230538025
