y,x1,x2,x3,x4,x5,x6
187.5714232,1,-67.61362656,109.8196777,107.6542835,109.9833293,-23.48193282
174.7060363,1,2.427624287,73.68895452,87.37030867,116.6995351,6.39197104
188.2396677,1,22.09572751,96.58434844,84.90380891,113.6158572,-19.42790627
182.1966851,1,113.0568165,99.89928152,112.4896781,111.0410853,84.33936383
177.4997615,1,-34.46088984,93.68280947,94.60871277,117.4207336,-110.4997507
170.8226599,1,-6.255228604,69.10431873,47.8952697,38.07961402,4.365337002
174.7141064,1,43.85391422,83.50326142,81.51626644,98.55958793,41.52597997
173.6052294,1,-0.792387522,76.25888417,82.07044758,108.2504481,5.848620122
170.2281321,1,27.65751091,79.87196594,72.19634284,29.12365,-54.1789894
161.1794947,1,82.38862904,71.00545309,23.41160196,35.41417281,-42.51701011
180.836271,1,-10.53040231,84.71863622,90.90651415,64.7938221,-55.24804336
181.967645,1,12.32886982,97.03849095,122.9865019,169.2361235,-25.02240751
164.506476,1,27.44427996,75.87586734,86.29010264,11.69796633,-25.25295929
175.9789981,1,25.19944797,86.00856636,99.77105317,112.2131507,3.903982664
175.8790799,1,12.56833609,84.64111227,82.68629728,70.97198167,70.11859004
171.819874,1,-3.830652755,78.17286627,62.09590788,60.01500248,84.46560168
183.9425242,1,8.094857566,88.99694186,87.06187929,84.28596624,12.66453632
162.4947873,1,-53.02507821,78.48909547,97.06804856,116.1815014,-94.4814888
176.8857521,1,-98.42437315,84.43671675,93.240924,92.4650283,44.50422578
172.5574523,1,13.35591854,82.82169819,69.18945535,79.01854417,-22.45324356
172.5042275,1,-26.62234429,79.04863181,108.9450616,69.81222164,121.8149473
176.3761773,1,-9.154067376,89.77006541,110.3546337,124.2795645,103.0810313
168.0187952,1,-27.11685993,67.72479896,63.50644189,18.08440566,108.6517138
191.023173,1,68.24992951,103.8578484,79.92066536,77.34409736,2.177083029
172.4487187,1,-7.816660341,73.55101992,59.48451245,73.42204022,34.22242619
173.0858433,1,-27.36328928,87.32416538,115.7262793,119.6849171,36.25494369
175.4876638,1,-3.86139659,83.73356918,65.80678071,57.56275983,-6.582912097
184.9141425,1,7.409718353,93.89999799,111.8559604,129.8166018,26.95664432
171.2499554,1,5.453211673,79.54712077,34.01979074,37.93216922,30.44144501
173.980895,1,141.5301884,70.07155806,88.75422852,106.2338375,42.30035446
174.2900008,1,-95.37720566,85.12810681,56.36018271,8.324327982,51.72210325
188.0458714,1,19.20599135,96.66124229,57.75652749,55.80545621,-18.028063
181.6816687,1,-36.53336492,88.54463841,69.55903681,75.78787911,7.228498468
175.7176092,1,47.5971003,93.15336407,101.3247664,140.5516803,36.29710738
176.726094,1,-1.995999145,92.69051298,83.55924861,92.18333698,7.2754868
178.8183594,1,68.26024352,87.57819586,59.61701966,19.17269149,-50.86177973
175.4534748,1,26.34751178,89.65966214,97.41596649,100.2465158,-61.93412922
170.6715491,1,-82.30473728,83.45018183,47.53205842,13.6887622,-46.1554248
167.1505818,1,4.683265295,74.3887285,65.87095012,56.59220469,7.880036712
163.3326372,1,48.20946363,74.05103976,70.78643214,49.05347433,84.92220042
172.654814,1,-10.47763303,78.14956122,64.43899302,111.9000003,34.55664789
183.3611419,1,-64.61443071,88.09661382,91.20113355,68.16606314,8.625958642
165.7866776,1,-62.34516008,76.55245677,73.51344164,71.84164538,2.658945689
167.8690505,1,26.93805988,73.1818184,85.06741969,92.34861703,-45.07735173
